lat,long,actual,predicted,residual,resid_pct,sqft,grade,age
47.7035,-122.164,589950,643581,-53631,-9.1,2080,8,33
47.6662,-122.057,743700,859762,-116062,-15.6,2610,10,27
47.5789,-122.286,1925000,1698826,226173,11.7,4830,11,101
47.1853,-122.017,316000,305811,10188,3.2,1120,7,98
47.496,-122.19,235867,146686,89180,37.8,1330,5,73
47.6367,-122.364,716000,588555,127444,17.8,1420,7,111
47.6732,-122.143,683000,761772,-78772,-11.5,2620,9,25
47.6462,-122.384,345000,569277,-224277,-65.0,1430,7,107
47.772,-122.323,270000,362136,-92136,-34.1,1260,6,68
47.4239,-122.292,239000,202775,36224,15.2,1330,7,44
47.5756,-122.316,385195,44030,341164,88.6,710,6,0
47.4572,-122.18,273000,327375,-54375,-19.9,2050,6,56
47.5675,-122.396,476900,345444,131455,27.6,1240,6,105
47.6964,-122.336,551000,492220,58779,10.7,2040,7,53
47.6925,-122.32,448000,314235,133764,29.9,1110,6,78
47.5882,-122.155,411100,319588,91511,22.3,1040,7,57
47.4572,-122.184,223000,111727,111272,49.9,910,6,58
47.4416,-122.149,335500,512583,-177083,-52.8,2240,8,47
47.7315,-122.058,730000,993464,-263464,-36.1,3460,9,27
47.4824,-122.336,197200,158237,38962,19.8,1140,6,73
47.6629,-122.325,725000,712838,12161,1.7,2380,8,98
47.214,-121.993,342500,237540,104959,30.6,2080,8,13
47.7694,-122.321,340000,484527,-144527,-42.5,1750,7,59
47.6994,-122.347,418000,557834,-139834,-33.5,1410,7,85
47.5721,-122.309,410000,482326,-72326,-17.6,2160,7,62
47.3305,-122.351,240000,346630,-106630,-44.4,2460,7,58
47.6285,-121.899,800000,834471,-34471,-4.3,3540,9,8
47.5323,-122.281,275000,259553,15446,5.6,1390,7,9
47.7185,-122.226,617950,631228,-13278,-2.1,2410,8,18
47.7403,-122.256,396000,491993,-95993,-24.2,1300,7,59
47.3588,-122.082,309000,232765,76234,24.7,1950,7,2
47.6425,-122.406,1275000,1184737,90262,7.1,3720,9,68
47.5355,-122.179,572500,698942,-126442,-22.1,2490,9,24
47.7085,-122.286,518500,613510,-95010,-18.3,2120,8,30
47.6249,-122.024,710000,900116,-190116,-26.8,2830,10,24
47.4395,-122.111,600000,908044,-308044,-51.3,4410,9,14
47.7428,-122.183,467000,551561,-84561,-18.1,2220,7,42
47.4485,-122.175,309000,131329,177670,57.5,1280,6,56
47.5459,-122.368,362500,339725,22774,6.3,1710,7,2
47.4568,-122.146,390000,532074,-142074,-36.4,2330,8,47
47.5292,-122.316,208417,87857,120559,57.8,840,5,77
47.1986,-121.967,340000,456030,-116030,-34.1,3180,8,46
47.7129,-122.304,467500,616478,-148978,-31.9,2260,7,67
47.5953,-122.08,829000,836683,-7683,-0.9,2970,8,42
47.6205,-122.096,959750,915771,43978,4.6,3060,8,58
47.6205,-122.141,542000,598901,-56901,-10.5,1990,8,51
47.6352,-122.29,2250000,1021726,1228273,54.6,3420,9,64
47.7707,-122.369,575000,996842,-421842,-73.4,2990,9,43
47.7037,-122.24,690000,800634,-110634,-16.0,2330,9,51
47.53,-122.388,699950,684184,15765,2.3,2230,8,38
47.3315,-122.169,408500,563840,-155340,-38.0,2720,9,12
47.4703,-122.015,595000,813355,-218355,-36.7,3680,8,45
47.7412,-122.343,313000,527553,-214553,-68.5,1320,7,67
47.691,-122.105,781000,765891,15108,1.9,2590,9,27
47.727,-122.176,371000,429809,-58809,-15.9,1610,7,47
47.397,-122.187,268000,217787,50212,18.7,1610,7,21
47.5322,-122.072,331000,199169,131830,39.8,1240,7,7
47.7306,-122.291,321000,347988,-26988,-8.4,1347,7,5
47.7231,-122.301,375000,437252,-62252,-16.6,1330,6,79
47.4874,-122.207,298000,135905,162094,54.4,850,5,108
47.5366,-122.359,209500,212621,-3121,-1.5,970,7,39
47.5661,-122.375,440000,548741,-108741,-24.7,2160,8,21
47.3835,-122.095,350000,437043,-87043,-24.9,2560,8,3
47.6059,-122.307,618000,690163,-72163,-11.7,2340,9,17
47.7638,-122.317,320000,511806,-191806,-59.9,1520,7,64
47.3728,-122.157,234950,369449,-134499,-57.2,1720,8,16
47.6719,-122.163,665000,689725,-24725,-3.7,2800,8,52
47.7309,-122.332,500000,469420,30579,6.1,1530,7,60
47.3351,-122.044,575000,354564,220435,38.3,1750,8,37
47.4456,-121.773,320000,201746,118253,37.0,1110,7,37
47.7358,-122.335,464000,883411,-419411,-90.4,3400,8,56
47.2701,-122.313,280000,133568,146431,52.3,1600,7,21
47.6195,-122.118,350000,154512,195487,55.9,940,6,56
47.717,-122.19,249000,341356,-92356,-37.1,1090,7,33
47.6634,-122.34,531000,459418,71581,13.5,1270,8,15
47.5497,-122.172,472800,523948,-51148,-10.8,1840,8,54
47.6501,-122.395,710000,672630,37369,5.3,2120,8,74
47.6766,-122.186,580000,813062,-233062,-40.2,3550,7,55
47.277,-122.347,330000,498560,-168560,-51.1,2980,8,12
47.3832,-122.3,174950,119746,55203,31.6,730,6,65
47.5696,-122.375,565000,646279,-81279,-14.4,2110,7,50
47.6056,-122.305,534000,409457,124542,23.3,2280,7,23
47.6513,-122.386,503500,413273,90226,17.9,1810,7,18
47.2931,-122.188,235000,220451,14548,6.2,1420,7,53
47.5434,-122.27,558000,738185,-180185,-32.3,3220,9,15
47.5915,-122.058,966000,1047957,-81957,-8.5,3810,10,7
47.6695,-122.337,1297000,965596,331403,25.6,2630,9,115
47.5497,-122.355,310000,161372,148627,47.9,1060,6,32
47.6815,-122.382,535000,539715,-4715,-0.9,1520,7,88
47.534,-122.373,432000,456162,-24162,-5.6,1970,7,73
47.5382,-122.114,1750000,1505180,244819,14.0,5860,10,2
47.6646,-122.365,675000,613061,61938,9.2,2400,7,51
47.7408,-121.974,337000,443573,-106573,-31.6,1590,8,14
47.5769,-122.397,410000,309998,100001,24.4,1410,6,90
47.4068,-122.175,320000,329122,-9122,-2.9,2130,7,37
47.6295,-122.089,585000,599344,-14344,-2.5,2370,8,40
47.7022,-122.227,835000,1127192,-292192,-35.0,3600,8,55
47.6239,-122.023,863000,1075649,-212649,-24.6,4120,10,18
47.5513,-122.272,320000,257131,62868,19.6,1190,6,86
47.5362,-122.072,613000,556490,56509,9.2,2440,8,10
47.5039,-122.361,180000,183910,-3910,-2.2,1460,6,79
47.6283,-122.095,560000,638317,-78317,-14.0,2550,8,47
47.4241,-122.29,530000,1014217,-484217,-91.4,4060,10,8
47.4802,-122.179,347000,293515,53484,15.4,1680,7,11
47.3351,-122.282,260000,337956,-77956,-30.0,2320,7,48
47.733,-122.225,585000,620619,-35619,-6.1,2200,8,21
47.5308,-121.847,440000,381758,58241,13.2,2230,7,11
47.2558,-122.024,305000,318849,-13849,-4.5,1590,7,49
47.6115,-122.292,650500,695127,-44627,-6.9,1740,8,112
47.6367,-122.37,590000,617153,-27153,-4.6,1290,9,7
47.1764,-122.026,245000,159447,85552,34.9,1670,7,41
47.2604,-122.023,329999,500434,-170435,-51.6,3360,7,27
47.5328,-121.879,470000,468977,1022,0.2,2620,7,16
47.6295,-122.285,2885000,1466756,1418243,49.2,5350,10,105
47.6779,-122.371,580000,520182,59817,10.3,1460,7,87
47.584,-122.198,745000,434428,310571,41.7,1490,7,68
47.4414,-122.189,350000,366271,-16271,-4.6,1780,7,52
47.6219,-122.138,515000,526196,-11196,-2.2,1730,8,50
47.5394,-122.379,756100,669493,86606,11.5,2000,8,98
47.5887,-122.065,472500,365187,107312,22.7,1750,7,33
47.5833,-122.242,900000,790305,109694,12.2,2300,9,65
47.6727,-122.297,895000,869136,25863,2.9,2640,8,90
47.386,-122.184,255000,501104,-246104,-96.5,2555,8,9
47.3828,-122.026,380000,320127,59872,15.8,2320,7,21
47.3541,-122.3,265000,383953,-118953,-44.9,1660,8,27
47.6205,-122.291,728000,673634,54365,7.5,1940,8,100
47.2891,-122.357,194000,57323,136676,70.5,1050,7,32
47.7608,-122.353,300000,449707,-149707,-49.9,1220,7,60
47.542,-122.322,216650,309295,-92645,-42.8,1540,7,8
47.346,-122.218,223990,97164,126825,56.6,1061,7,2
47.5307,-122.352,220000,229631,-9631,-4.4,1200,6,92
47.5925,-122.287,3600000,2246725,1353274,37.6,5020,10,74
47.5502,-122.274,310000,348552,-38552,-12.4,1330,6,112
47.5475,-121.999,360000,304200,55799,15.5,1230,8,9
47.6228,-122.319,635000,419326,215673,34.0,1390,8,9
47.6749,-122.14,599950,612218,-12268,-2.0,2500,8,7
47.7529,-122.324,220000,432674,-212674,-96.7,1180,7,69
47.5072,-122.257,372000,456195,-84195,-22.6,2070,8,16
47.7561,-122.071,332900,390933,-58033,-17.4,1190,7,46
47.4334,-122.161,380000,544667,-164667,-43.3,2280,8,30
47.6706,-122.3,471000,498148,-27148,-5.8,1450,7,90
47.6406,-122.304,1185000,748227,436772,36.9,2850,9,12
47.5222,-122.157,684000,751022,-67022,-9.8,3040,9,5
47.6741,-122.271,750000,674165,75834,10.1,2250,8,40
47.6517,-122.374,612125,489977,122147,20.0,1670,7,65
47.3837,-122.158,455500,598239,-142739,-31.3,2290,9,42
47.5677,-122.317,330000,420330,-90330,-27.4,1750,6,73
47.5192,-121.764,654000,561264,92735,14.2,3240,7,18
47.4424,-122.126,323000,427718,-104718,-32.4,1970,8,38
47.5555,-122.363,315000,384356,-69356,-22.0,1480,8,2
47.3701,-122.041,392000,364829,27170,6.9,1940,8,25
47.6462,-122.191,782000,899491,-117491,-15.0,2830,10,36
47.3293,-122.194,298500,210368,88131,29.5,1890,7,11
47.6515,-122.277,3650000,2444574,1205425,33.0,5480,11,79
47.3573,-122.202,374000,498800,-124800,-33.4,2185,9,6
47.637,-122.363,850000,793014,56985,6.7,1950,8,104
47.6399,-122.052,785000,1063519,-278519,-35.5,3210,11,31
47.639,-122.1,615000,620461,-5461,-0.9,2500,8,40
47.519,-121.878,599832,729480,-129648,-21.6,3230,9,1
47.4418,-121.731,1075000,1026220,48779,4.5,4020,10,16
47.4917,-122.188,226000,270123,-44123,-19.5,1490,6,71
47.3682,-122.178,421500,609958,-188458,-44.7,2793,9,6
47.622,-122.059,406550,509762,-103212,-25.4,2400,7,41
47.6993,-122.346,360000,480412,-120412,-33.4,1530,8,6
47.618,-122.311,520000,304459,215540,41.5,1340,7,9
47.731,-122.341,329950,370245,-40295,-12.2,1140,6,66
47.5877,-122.157,550000,521505,28494,5.2,2250,7,59
47.734,-122.19,425000,533392,-108392,-25.5,2060,7,48
47.6085,-121.952,1610000,1584934,25065,1.6,6085,11,15
47.37,-122.297,185000,212506,-27506,-14.9,1240,7,56
47.4685,-122.265,345000,412543,-67543,-19.6,2340,7,22
47.5767,-122.41,585000,458632,126367,21.6,1700,8,5
47.486,-121.726,325000,379946,-54946,-16.9,2450,7,37
47.4238,-122.197,220000,279781,-59781,-27.2,1460,7,58
47.6563,-122.351,716100,628037,88062,12.3,1640,7,106
47.3657,-122.021,313999,182761,131237,41.8,1870,7,7
47.5672,-122.004,450000,401825,48174,10.7,1610,8,19
47.4828,-122.191,380000,587948,-207948,-54.7,1800,7,63
47.5716,-122.227,572000,449348,122651,21.4,1680,7,64
47.4365,-122.144,343888,299680,44207,12.9,2060,7,13
47.5525,-122.273,474950,503382,-28432,-6.0,1850,9,2
47.7456,-122.315,410000,506294,-96294,-23.5,2200,7,25
47.5579,-122.395,295000,244205,50794,17.2,520,6,97
47.5655,-122.27,635000,638307,-3307,-0.5,1960,8,75
47.7753,-122.355,275000,637267,-362267,-131.7,2570,7,56
47.328,-122.341,185000,95033,89966,48.6,1122,6,55
47.3902,-122.283,239000,254825,-15825,-6.6,1130,7,61
47.6835,-122.161,840000,749199,90800,10.8,2480,9,15
47.773,-122.161,644000,915812,-271812,-42.2,3310,9,8
47.6609,-122.343,515000,471056,43943,8.5,970,7,99
47.3794,-122.317,276200,369459,-93259,-33.8,1370,8,40
47.7438,-122.247,400000,527732,-127732,-31.9,1770,8,27
47.5797,-122.391,769900,627863,142036,18.4,2730,8,9
47.5973,-122.034,585000,516206,68793,11.8,2250,8,14
47.626,-122.112,570000,544393,25606,4.5,1860,8,51
47.6937,-122.362,490000,312105,177894,36.3,920,6,89
47.6921,-122.386,587100,649163,-62063,-10.6,1670,8,54
47.5514,-122.357,329900,333722,-3822,-1.2,1380,7,33
47.558,-122.277,725000,839980,-114980,-15.9,3360,8,52
47.4865,-121.802,445000,472498,-27498,-6.2,2250,8,21
47.7586,-122.342,380000,548787,-168787,-44.4,1840,7,44
47.3687,-122.088,255000,180253,74746,29.3,1490,7,25
47.7105,-122.289,355000,408203,-53203,-15.0,1360,7,59
47.4536,-122.33,285000,293825,-8825,-3.1,1400,7,59
47.6223,-122.208,1050000,264534,785465,74.8,1330,6,63
47.719,-122.114,749400,1014838,-265438,-35.4,3240,10,30
47.5738,-122.215,1490000,1201413,288586,19.4,3620,10,57
47.6141,-122.136,950000,943634,6365,0.7,3400,10,16
47.2622,-122.219,264500,294208,-29708,-11.2,1630,8,25
47.6313,-122.369,1385000,1054798,330201,23.8,2490,8,104
47.3904,-122.299,199950,326935,-126985,-63.5,1740,7,56
47.6798,-122.385,969950,883262,86687,8.9,2830,10,1
47.75,-122.176,405000,425580,-20580,-5.1,1500,7,21
47.4276,-122.157,322500,331675,-9175,-2.8,2060,7,34
47.6872,-122.296,425000,491582,-66582,-15.7,1820,7,73
47.5498,-122.355,275000,161428,113571,41.3,1060,6,32
47.5218,-122.357,181000,156154,24845,13.7,720,6,61
47.5369,-122.378,475000,417890,57109,12.0,1700,8,17
47.3519,-122.173,376950,435967,-59017,-15.7,2643,8,3
47.6763,-122.282,476000,774694,-298694,-62.8,2890,7,70
47.6249,-122.298,480000,235896,244103,50.9,820,7,35
47.4783,-122.338,229000,451204,-222204,-97.0,1760,7,72
47.4868,-122.33,226950,141121,85828,37.8,930,6,58
47.5302,-122.147,669888,691545,-21657,-3.2,2550,9,26
47.5545,-122.288,555750,223638,332111,59.8,1060,6,102
47.3251,-122.329,280000,411858,-131858,-47.1,2100,8,37
47.5123,-122.19,315000,221807,93192,29.6,1010,7,34
47.5697,-122.177,499950,369797,130152,26.0,1360,7,60
47.4582,-122.365,453000,440234,12765,2.8,1820,7,60
47.5627,-122.137,700000,609259,90740,13.0,2060,8,39
47.3967,-122.183,347500,434134,-86634,-24.9,1890,8,23
47.7718,-122.283,600000,1391001,-791001,-131.8,4690,10,20
47.4944,-121.789,286000,60727,225272,78.8,780,5,85
47.5521,-122.115,1212500,1510530,-298030,-24.6,4560,12,20
47.5891,-122.387,580000,565976,14023,2.4,1740,8,7
47.6945,-122.188,630000,546764,83235,13.2,1710,8,29
47.7142,-122.286,730000,676352,53647,7.3,2660,7,78
47.6263,-122.099,1300000,814757,485242,37.3,3350,9,6
47.5599,-122.121,850000,857464,-7464,-0.9,3300,9,21
47.5859,-122.385,410000,354914,55085,13.4,1660,7,35
47.5398,-122.369,325000,418988,-93988,-28.9,1550,8,8
47.6904,-122.102,596500,508820,87679,14.7,1770,8,29
47.6356,-122.367,1020000,891200,128799,12.6,1670,8,112
47.4604,-122.339,180250,151207,29042,16.1,900,6,74
47.5352,-122.38,528000,430257,97742,18.5,2160,7,28
47.522,-122.39,405500,375798,29701,7.3,1350,8,9
47.6353,-122.353,1850000,784583,1065416,57.6,3480,8,1
47.3668,-122.09,230000,130786,99213,43.1,1340,7,30
47.4036,-122.462,789000,1096708,-307708,-39.0,3740,10,24
47.6889,-122.33,527950,579829,-51879,-9.8,1760,7,89
47.6319,-122.041,688000,1058883,-370883,-53.9,3450,10,32
47.4543,-121.778,1057000,759482,297517,28.1,2370,11,10
47.5983,-122.2,999999,607086,392912,39.3,2100,9,7
47.4811,-122.182,355000,395714,-40714,-11.5,2390,7,12
47.684,-122.205,1197350,882358,314991,26.3,2770,10,16
47.2973,-122.08,254600,214441,40158,15.8,1470,7,47
47.5787,-122.293,630000,614548,15451,2.5,2000,7,90
47.5533,-121.995,670000,766243,-96243,-14.4,2980,9,10
47.5257,-122.263,319950,310182,9767,3.1,1240,6,94
47.6919,-122.313,550000,726913,-176913,-32.2,2360,8,66
47.549,-122.372,250000,330967,-80967,-32.4,1180,8,8
47.7506,-122.012,1135000,1538618,-403618,-35.6,6900,9,13
47.7402,-122.323,324950,410749,-85799,-26.4,1210,7,66
47.6758,-122.369,477000,487472,-10472,-2.2,960,7,109
47.3343,-122.044,531500,688493,-156993,-29.5,3110,8,57
47.7692,-122.219,610000,850424,-240424,-39.4,3610,8,45
47.6236,-122.117,443000,455275,-12275,-2.8,1810,7,47
47.5729,-122.315,385000,586197,-201197,-52.3,2160,7,87
47.745,-122.297,320000,438140,-118140,-36.9,1210,7,63
47.4097,-122.193,237000,207159,29840,12.6,1210,7,30
47.5436,-122.233,865000,585761,279238,32.3,2260,8,41
47.3732,-122.217,239900,206643,33256,13.9,1480,7,56
47.6161,-122.302,555000,350899,204100,36.8,1190,8,8
47.7258,-121.959,435000,560955,-125955,-29.0,2650,7,15
47.5271,-122.384,582000,661871,-79871,-13.7,1820,8,66
47.6529,-122.411,450000,704507,-254507,-56.6,2130,8,69
47.7677,-122.359,502000,510826,-8826,-1.8,1700,7,62
47.5478,-121.999,430000,338362,91637,21.3,1470,8,10
47.3322,-122.173,277000,324866,-47866,-17.3,1850,8,17
47.7133,-122.308,467000,363975,103024,22.1,1220,7,50
47.6323,-122.029,530000,525466,4533,0.9,2240,8,31
47.5699,-122.177,490000,440142,49857,10.2,1720,7,59
47.6689,-122.363,499950,421478,78471,15.7,1320,8,1
47.5632,-122.182,515000,520870,-5870,-1.1,1600,8,60
47.4878,-122.221,280000,527342,-247342,-88.3,2630,7,57
47.6936,-122.128,618000,529540,88459,14.3,2470,7,37
47.6465,-122.404,405000,351915,53084,13.1,960,7,72
47.4594,-122.133,551000,814548,-263548,-47.8,3090,10,5
47.7393,-122.325,241450,400436,-158986,-65.8,1100,7,66
47.3898,-122.049,265000,247916,17083,6.4,1720,7,22
47.5385,-121.896,1650000,1183119,466880,28.3,3920,11,13
47.5442,-122.138,720000,720010,-10,-0.0,2900,9,26
47.7161,-122.33,450500,458223,-7723,-1.7,1410,7,67
47.4315,-122.169,325000,374620,-49620,-15.3,1920,7,48
47.5336,-121.867,475000,440224,34775,7.3,1890,8,16
47.5943,-122.133,713000,747924,-34924,-4.9,2580,8,48
47.354,-122.047,320000,253381,66618,20.8,1550,8,22
47.5767,-122.144,365000,392343,-27343,-7.5,1820,7,60
47.5284,-122.387,380000,366863,13136,3.5,1520,7,66
47.515,-121.869,569950,602963,-33013,-5.8,3230,8,3
47.6955,-122.295,630000,535336,94663,15.0,2330,7,59
47.5162,-122.26,349950,436041,-86091,-24.6,1640,7,67
47.3626,-122.04,344000,395324,-51324,-14.9,2400,8,11
47.6188,-122.029,473000,372220,100779,21.3,1620,7,28
47.548,-122.373,365000,453323,-88323,-24.2,1780,8,8
47.6883,-122.111,510000,580383,-70383,-13.8,1980,8,35
47.6904,-122.397,530000,525093,4906,0.9,1950,8,13
47.5238,-122.356,107000,115429,-8429,-7.9,910,6,42
47.774,-122.351,331000,489698,-158698,-47.9,1480,7,65
47.5405,-122.027,629800,495106,134693,21.4,2390,8,7
47.7128,-122.032,579000,469048,109951,19.0,1560,8,11
47.7698,-122.386,970000,1138882,-168882,-17.4,2790,9,52
47.5057,-122.149,460500,485750,-25250,-5.5,2170,8,24
47.7696,-122.325,370000,547000,-177000,-47.8,1750,7,36
47.4469,-122.455,567035,642060,-75025,-13.2,2064,7,112
47.3839,-122.321,220000,194569,25430,11.6,1460,7,22
47.7074,-122.246,795000,885109,-90109,-11.3,2420,9,36
47.6203,-122.036,400000,355715,44284,11.1,1410,8,32
47.6916,-121.916,470950,694337,-223387,-47.4,2560,8,26
47.7027,-122.346,220000,448972,-228972,-104.1,890,7,87
47.6944,-122.274,691500,685752,5747,0.8,2600,7,53
47.654,-122.346,526000,659431,-133431,-25.4,1550,7,115
47.2623,-122.305,300000,172596,127403,42.5,1700,7,22
47.77,-122.391,605000,843093,-238093,-39.4,1930,9,37
47.4188,-121.949,700000,513421,186578,26.7,2530,8,35
47.6453,-122.302,1000000,700779,299220,29.9,1880,8,91
47.7329,-122.308,377500,560981,-183481,-48.6,1370,7,89
47.6745,-122.287,674000,523738,150261,22.3,2110,7,69
47.768,-122.251,599000,971285,-372285,-62.2,3700,7,53
47.7258,-122.117,680000,728570,-48570,-7.1,2700,8,37
47.6028,-122.172,580000,410968,169031,29.1,1670,7,41
47.6506,-122.384,390000,390329,-329,-0.1,1490,7,22
47.4779,-122.342,262500,246786,15713,6.0,1130,6,71
47.584,-122.077,765000,832822,-67822,-8.9,2620,9,31
47.7344,-122.336,296000,476968,-180968,-61.1,1370,7,67
47.6069,-122.112,515000,459606,55393,10.8,1580,7,48
47.3467,-122.307,267950,133374,134575,50.2,1730,6,45
47.5328,-122.346,291700,444233,-152533,-52.3,1970,6,88
47.4888,-122.182,338000,366662,-28662,-8.5,2090,7,29
47.3833,-122.037,359950,520951,-161001,-44.7,2290,9,8
47.6251,-122.218,3168750,1514016,1654733,52.2,4330,12,7
